"Rk","Player","Age","Team","Pos","GP","G","A","PTS","+/-","PIM","EVG","PPG","SHG","GWG","EVA","PPA","SHA","SOG","SPCT","TSA","TOI","ATOI","FOW","FOL","FO%","BLK","HIT","TAKE","GIVE","Primary Key"
1,Nathan MacKinnon,29,COL,C,44,15,53,68,15,25,12,3,0,3,36,17,0,166,9.0,311,1018.92,23.15,383,410,48.3,39,23,14,72,mackina01
2,Leon Draisaitl,29,EDM,C,43,31,33,64,27,14,24,7,0,9,23,10,0,136,22.0,228,920.12,21.4,428,329,56.5,17,11,20,47,draisle01
3,Nikita Kucherov,31,TBL,RW,39,20,42,62,16,25,18,2,0,5,20,22,0,135,14.0,283,826.43,21.18,0,0,,17,17,12,64,kucheni01
4,Mikko Rantanen,28,COL,RW,44,25,35,60,12,24,17,8,0,5,25,10,0,123,20.0,253,989.35,22.48,98,89,52.4,27,25,21,43,rantami01
5,Mitch Marner,27,TOR,RW,44,14,45,59,2,10,8,5,1,4,28,17,0,106,13.0,227,942.88,21.43,3,11,21.4,21,23,34,60,marnemi01
6,Connor McDavid,28,EDM,C,40,17,42,59,11,14,11,6,0,3,30,12,0,124,13.0,228,874.47,21.87,212,243,46.6,6,25,17,47,mcdavco01
7,Kyle Connor,28,WPG,LW,44,23,32,55,6,21,13,9,1,5,22,10,0,146,15.0,261,884.95,20.12,0,7,0.0,22,5,16,46,connoky01
8,Jack Eichel,28,VEG,C,42,11,43,54,25,6,9,1,1,1,27,15,1,127,8.0,229,878.72,20.92,311,348,47.2,28,14,17,47,eicheja01
9,Jack Hughes,23,NJD,C,45,17,35,52,10,6,12,5,0,6,17,17,1,168,10.0,342,934.95,20.78,176,287,38.0,22,5,17,63,hugheja03
10,Jesper Bratt,26,NJD,W,45,15,36,51,11,14,10,4,1,0,20,16,0,102,14.0,211,841.63,18.7,0,3,0.0,23,48,5,24,brattje01
11,Sam Reinhart,29,FLA,C,44,27,24,51,10,12,13,9,5,1,15,8,1,115,23.0,220,911.32,20.72,131,191,40.7,37,55,16,43,reinhsa01
12,Kirill Kaprizov,27,MIN,LW,34,23,27,50,21,14,20,3,0,4,19,8,0,120,19.0,250,768.97,22.62,0,2,0.0,14,11,9,50,kapriki01
13,Travis Konecny,27,PHI,C,44,20,30,50,-2,37,11,8,1,2,25,4,1,108,18.0,215,915.4,20.8,19,31,38.0,25,56,18,49,konectr01
14,Martin Necas,26,CAR,C,44,15,35,50,1,10,8,7,0,5,21,14,0,103,14.0,213,799.25,18.17,47,74,38.8,15,34,15,45,necasma01
15,Mark Scheifele,31,WPG,C,44,25,25,50,4,27,20,5,0,6,14,11,0,99,25.0,187,901.45,20.48,317,335,48.6,36,36,14,56,scheima01
16,Cale Makar,26,COL,D,44,13,36,49,12,8,6,6,1,3,22,14,0,132,9.0,318,1129.25,25.67,0,0,,70,36,36,59,makarca01
17,Sidney Crosby,37,PIT,C,45,12,36,48,-14,19,6,6,0,3,25,11,0,134,9.0,249,913.42,20.3,581,465,55.5,22,41,17,41,crosbsi01
18,Brandon Hagel,26,TBL,LW,41,20,28,48,18,32,18,0,2,1,20,5,3,116,17.0,223,874.88,21.33,6,9,40.0,34,23,15,58,hagelbr01
19,Zach Werenski,27,CBJ,D,43,13,35,48,8,25,8,5,0,3,20,14,1,166,7.0,332,1141.48,26.55,0,0,,73,10,27,60,werenza01
20,Quinn Hughes,25,VAN,D,38,9,38,47,15,25,8,1,0,1,21,17,0,113,8.0,299,960.65,25.28,0,0,,38,5,16,43,hughequ01
21,Kirill Marchenko,24,CBJ,RW,43,18,29,47,25,12,16,2,0,1,16,13,0,125,14.0,250,803.45,18.68,11,23,32.4,19,34,20,54,marchki01
22,Brayden Point,28,TBL,C,37,25,22,47,5,2,13,12,0,6,14,8,0,86,29.0,158,730.05,19.73,215,219,49.5,20,9,9,20,pointbr01
23,Lucas Raymond,22,DET,LW,42,17,29,46,-5,12,12,4,1,3,11,18,0,85,20.0,184,794.57,18.92,0,2,0.0,18,22,15,34,raymolu01
24,Dylan Strome,27,WSH,C,43,12,34,46,10,20,9,3,0,1,18,16,0,73,16.0,142,760.98,17.7,387,320,54.7,29,14,13,36,stromdy01
25,Artemi Panarin,33,NYR,LW,40,17,28,45,-7,12,11,6,0,1,19,9,0,120,14.0,295,786.35,19.67,0,1,0.0,7,9,8,46,panarar01
26,David Pastrnak,28,BOS,RW,45,19,26,45,-10,26,14,5,0,4,21,5,0,183,10.0,345,894.87,19.88,2,4,33.3,9,21,20,66,pastrda01
27,Sebastian Aho,27,CAR,F,44,13,31,44,-3,30,10,2,1,4,16,14,1,116,11.0,247,882.47,20.05,368,283,56.5,22,41,10,50,ahose01
28,William Nylander,28,TOR,C,44,24,20,44,-5,14,17,7,0,5,8,12,0,144,16.0,260,860.35,19.55,50,58,46.3,14,3,16,38,nylanwi01
29,Tim Stutzle,23,OTT,LW,42,14,29,43,6,20,12,2,0,0,15,14,0,84,16.0,163,828.42,19.72,66,117,36.1,28,70,12,37,stuetti02
30,Nick Suzuki,25,MTL,C,42,13,30,43,3,4,11,2,0,5,18,12,0,86,15.0,165,818.38,19.48,306,317,49.1,36,31,16,38,suzukni01
31,Jake Guentzel,30,TBL,C,40,21,21,42,10,12,12,9,0,1,18,3,0,105,20.0,166,806.42,20.17,105,102,50.7,32,15,16,41,guentja01
32,John Tavares,34,TOR,C,43,20,22,42,3,22,13,7,0,6,20,2,0,124,16.0,204,787.23,18.3,423,321,56.9,25,52,13,36,tavarjo01
33,Clayton Keller,26,UTA,C,41,14,27,41,-3,16,10,4,0,3,15,12,0,106,13.0,216,777.88,18.97,9,18,33.3,12,6,17,42,kellecl01
34,Sean Monahan,30,CBJ,C,41,14,27,41,17,14,10,4,0,2,20,5,2,106,13.0,179,797.3,19.45,456,430,51.5,24,18,8,41,monahse01
35,Cole Caufield,24,MTL,RW,42,23,17,40,-2,14,16,7,0,3,13,4,0,125,18.0,224,749.97,17.85,1,4,20.0,14,35,13,36,caufico01
36,Anže Kopitar,37,LAK,C,41,12,28,40,18,2,9,3,0,5,19,8,1,54,22.0,105,796.33,19.42,456,363,55.7,28,12,21,34,kopitan01
37,Matthew Tkachuk,27,FLA,LW,39,14,26,40,-6,44,6,8,0,1,16,10,0,112,12.0,226,698.02,17.9,0,2,0.0,10,64,9,40,tkachma01
38,Connor Bedard,19,CHI,C,44,12,27,39,-21,20,7,5,0,3,14,13,0,104,11.0,205,869.27,19.75,109,232,32.0,23,19,12,45,bedarco01
39,Adrian Kempe,28,LAK,LW,41,20,19,39,20,18,17,2,1,2,14,5,0,116,17.0,238,799.67,19.5,7,9,43.8,18,46,6,40,kempead01
40,Josh Morrissey,29,WPG,D,44,5,34,39,11,22,4,1,0,0,19,15,0,90,5.0,223,1064.53,24.2,0,0,,70,27,18,40,morrijo04
41,Aleksander Barkov,29,FLA,C,34,11,27,38,2,10,5,5,1,1,15,9,3,76,14.0,156,694.3,20.42,312,205,60.3,33,43,15,23,barkoal01
42,Drake Batherson,26,OTT,C,42,14,24,38,-3,14,6,8,0,2,13,11,0,90,15.0,177,765.9,18.23,6,7,46.2,16,66,13,27,bathedr01
43,Matt Duchene,34,DAL,C,42,16,22,38,10,6,13,3,0,4,14,8,0,76,21.0,153,720.33,17.15,204,166,55.1,10,15,13,39,duchema01
44,Jordan Kyrou,26,STL,C,44,19,19,38,8,8,14,5,0,3,14,5,0,130,14.0,265,788.83,17.93,4,9,30.8,22,25,13,46,kyroujo01
45,Rickard Rakell,31,PIT,RW,45,22,16,38,-10,8,18,4,0,1,10,6,0,111,19.0,221,851.58,18.92,1,3,25.0,49,73,9,45,rakelri01
46,Marco Rossi,23,MIN,C,44,16,22,38,17,12,12,4,0,1,18,4,0,81,19.0,155,802.75,18.25,268,277,49.2,23,29,10,30,rossima01
47,Mark Stone,32,VEG,RW,29,12,26,38,21,2,9,3,0,2,15,10,1,59,20.0,94,565.37,19.5,2,2,50.0,14,20,18,35,stonema01
48,Brady Tkachuk,25,OTT,LW,42,18,20,38,1,73,9,9,0,4,14,6,0,166,10.0,302,769.55,18.32,115,110,51.1,25,145,8,27,tkachbr01
49,Gabriel Vilardi,25,WPG,C,44,19,19,38,2,10,9,10,0,3,10,9,0,84,22.0,151,807.82,18.37,61,56,52.1,27,9,18,26,vilarga01
50,Matt Boldy,23,MIN,LW,44,16,21,37,5,33,12,4,0,8,16,5,0,148,10.0,292,867.7,19.72,41,46,47.1,31,27,27,40,boldyma01
51,Dylan Larkin,28,DET,C,42,18,19,37,-6,28,8,10,0,2,12,7,0,117,15.0,242,841.03,20.02,468,349,57.3,7,21,17,47,larkidy01
52,Anthony Cirelli,27,TBL,C,40,17,19,36,21,16,12,2,3,1,15,2,2,82,20.0,143,743.02,18.58,335,318,51.3,37,15,12,33,cirelan01
53,Logan Cooley,20,UTA,C,42,11,25,36,4,22,5,6,0,1,18,7,0,82,13.0,164,722.95,17.22,193,235,45.1,18,29,15,40,coolelo01
54,Alex DeBrincat,27,DET,RW,42,19,17,36,-8,10,11,8,0,3,8,9,0,107,17.0,200,729.67,17.37,17,19,47.2,16,15,14,33,debrial01
55,Nikolaj Ehlers,28,WPG,LW,35,14,22,36,5,4,10,4,0,3,12,10,0,85,16.0,163,547.93,15.65,2,8,20.0,12,22,7,32,ehlerni01
56,Mikael Granlund,32,SJS,C,43,11,25,36,-6,18,7,3,1,0,16,9,0,110,10.0,211,911.68,21.2,257,288,47.2,31,34,12,51,granlmi01
57,Nico Hischier,26,NJD,C,45,19,17,36,13,12,13,6,0,2,9,7,1,123,15.0,218,918.87,20.42,599,487,55.2,42,27,16,31,hischni01
58,Aliaksei Protas,24,WSH,C,43,18,18,36,23,12,17,0,1,3,18,0,0,76,23.0,139,694.9,16.17,6,13,31.6,19,12,12,30,protaal01
59,Filip Forsberg,30,NSH,C,42,11,24,35,-14,22,6,5,0,1,15,9,0,141,7.0,320,793.33,18.88,1,7,12.5,27,80,26,59,forsbfi01
60,Anders Lee,34,NYI,LW,42,19,16,35,11,16,16,3,0,2,14,2,0,129,14.0,203,720.62,17.15,5,9,35.7,18,60,6,30,leean01
61,Jason Robertson,25,DAL,LW,42,11,24,35,3,8,8,3,0,1,19,5,0,106,10.0,219,746.57,17.78,4,6,40.0,24,27,14,35,roberja01
62,Shea Theodore,29,VEG,D,42,4,31,35,4,14,4,0,0,1,17,14,0,80,5.0,213,913.85,21.77,0,0,,52,4,22,67,theodsh01
63,Dylan Guenther,21,UTA,RW,40,16,18,34,4,18,9,7,0,3,9,9,0,98,16.0,237,650.7,16.27,6,9,40.0,24,22,12,25,guentdy01
64,Tage Thompson,27,BUF,C,38,19,15,34,-2,13,15,4,0,1,9,6,0,116,16.0,249,718.85,18.92,187,265,41.4,15,39,14,19,thompta01
65,Pierre-Luc Dubois,26,WSH,LW,43,7,26,33,11,32,7,0,0,2,21,5,0,68,10.0,156,742.07,17.25,322,319,50.2,35,38,5,30,duboipi01
66,Adam Fox,26,NYR,D,42,2,31,33,2,22,1,1,0,1,18,13,0,68,2.0,186,993.8,23.67,0,0,,61,27,26,43,foxad01
67,Brad Marchand,36,BOS,LW,45,15,18,33,-7,32,13,2,0,4,12,6,0,134,11.0,254,838.33,18.63,3,6,33.3,18,45,10,44,marchbr03
68,Bryan Rust,32,PIT,RW,38,16,17,33,-20,12,14,2,0,4,13,4,0,102,15.0,173,747.07,19.67,3,2,60.0,34,35,11,32,rustbr01
69,Troy Terry,27,ANA,C,39,14,19,33,2,8,10,4,0,3,16,3,0,102,13.0,202,737.78,18.92,4,15,21.1,14,5,14,35,terrytr01
70,Robert Thomas,25,STL,C,32,11,22,33,5,14,9,1,1,2,17,5,0,72,15.0,149,647.42,20.23,357,277,56.3,27,5,10,53,thomaro01
71,Tom Wilson,30,WSH,RW,43,19,14,33,9,38,10,9,0,3,10,3,1,98,19.0,196,815.68,18.97,3,5,37.5,41,130,10,45,wilsoto01
72,Evan Bouchard,25,EDM,D,43,7,25,32,12,14,7,0,0,0,15,10,0,117,6.0,286,1013.95,23.58,0,0,,68,17,28,70,bouchev01
73,Victor Hedman,34,TBL,D,39,6,26,32,9,22,5,1,0,1,14,12,0,92,6.0,235,907.08,23.27,0,0,,64,20,13,55,hedmavi01
74,Dylan Holloway,23,STL,C,44,15,17,32,11,8,13,2,0,4,13,4,0,106,14.0,184,708.72,16.1,49,76,39.2,28,89,19,40,hollody01
75,Jonathan Huberdeau,31,CGY,LW,42,18,14,32,-7,20,12,5,1,4,8,5,1,74,24.0,129,782.92,18.63,7,16,30.4,33,28,13,46,huberjo01
76,Lane Hutson,20,MTL,D,42,3,29,32,-7,22,3,0,0,0,15,14,0,49,6.0,159,954.68,22.73,0,0,,54,21,22,55,hutsola01
77,Evgeni Malkin,38,PIT,C,41,8,24,32,-17,18,6,2,0,2,16,8,0,71,11.0,153,762.25,18.58,149,203,42.3,29,20,13,45,malkiev01
78,Jared McCann,28,SEA,C,44,13,19,32,6,8,11,2,0,1,14,5,0,107,12.0,244,781.57,17.77,19,22,46.3,30,22,16,39,mccanja01
79,Connor McMichael,24,WSH,C,43,17,15,32,7,20,13,4,0,4,10,4,1,102,16.0,191,756.52,17.6,23,29,44.2,20,18,14,42,mcmicco01
80,Alex Ovechkin,39,WSH,LW,27,20,12,32,13,10,15,5,0,4,8,4,0,99,20.0,193,471.98,17.48,0,0,,6,56,9,18,ovechal01
81,JJ Peterka,23,BUF,RW,41,10,22,32,-8,10,7,3,0,1,15,7,0,86,11.0,207,735.6,17.93,2,4,33.3,7,19,11,39,peterjo01
82,Andrei Svechnikov,24,CAR,RW,44,15,17,32,-3,34,6,9,0,1,11,6,0,123,12.0,252,770.93,17.52,1,1,50.0,12,86,13,65,svechan01
83,Rasmus Dahlin,24,BUF,D,35,6,25,31,2,24,3,3,0,1,15,10,0,99,6.0,225,858.48,24.53,0,0,,52,40,14,42,dahlira01
84,William Eklund,22,SJS,LW,40,9,22,31,1,6,4,5,0,1,17,4,1,73,12.0,162,787.37,19.68,9,18,33.3,26,26,10,42,eklunwi01
85,Seth Jarvis,22,CAR,C,37,13,18,31,-3,10,8,4,1,0,10,7,1,99,13.0,195,712.55,19.25,34,68,33.3,26,58,14,37,jarvise01
86,Erik Karlsson,34,PIT,D,45,4,27,31,-14,18,3,1,0,0,17,10,0,112,3.0,292,1028.6,22.85,0,0,,59,14,20,74,karlser01
87,Jonathan Marchessault,34,NSH,C,42,14,17,31,-11,31,11,3,0,2,7,10,0,127,11.0,217,763.2,18.17,10,32,23.8,12,57,5,55,audymjo01
88,Auston Matthews,27,TOR,C,29,14,17,31,-2,12,10,4,0,1,11,6,0,114,12.0,213,589.88,20.33,307,235,56.6,39,19,10,31,matthau01
89,Matvei Michkov,20,PHI,RW,42,13,18,31,-13,38,7,6,0,3,10,8,0,91,14.0,164,691.82,16.47,15,17,46.9,8,16,9,40,michkma01
90,Nick Schmaltz,28,UTA,C,42,8,23,31,-11,6,5,3,0,1,16,7,0,92,8.0,192,789.4,18.8,66,66,50.0,19,8,15,55,schmani01
91,Teuvo Teravainen,30,CHI,F,44,10,21,31,-10,4,5,5,0,0,11,9,1,66,15.0,120,727.62,16.53,19,28,40.4,18,8,8,38,teravte01
92,Alex Tuch,28,BUF,RW,43,14,17,31,13,25,11,0,3,1,13,4,0,94,14.0,197,834.95,19.42,52,75,40.9,66,33,23,33,tuchal01
93,Jason Zucker,33,BUF,LW,43,15,16,31,-1,39,7,8,0,2,10,6,0,77,19.0,153,685.57,15.95,19,29,39.6,13,44,11,40,zuckeja01
94,Ivan Barbashev,29,VEG,C,33,15,15,30,11,6,14,1,0,3,15,0,0,57,26.0,109,550.78,16.68,4,7,36.4,18,67,12,35,barbaiv01
95,Jamie Benn,35,DAL,LW,42,12,18,30,4,54,11,1,0,4,12,6,0,81,14.0,143,661.77,15.75,192,143,57.3,25,61,7,30,bennja01
96,Conor Garland,28,VAN,RW,42,11,19,30,-3,19,7,4,0,2,13,6,0,96,11.0,185,818.45,19.48,4,8,33.3,26,28,15,36,garlaco01
97,Bo Horvat,29,NYI,C,41,13,17,30,11,4,11,1,1,3,16,1,0,120,10.0,225,813.12,19.83,355,243,59.4,16,48,9,50,horvabo01
98,Wyatt Johnston,21,DAL,C,42,10,20,30,7,12,7,2,1,1,15,5,0,114,8.0,220,809.2,19.27,214,226,48.6,22,22,19,29,johnswy01
99,Carter Verhaeghe,29,FLA,C,44,10,20,30,-21,28,7,3,0,3,9,11,0,131,7.0,275,808.37,18.37,9,19,32.1,18,64,16,48,verhaca01
100,Dmitri Voronkov,24,CBJ,LW,34,17,13,30,14,37,10,7,0,1,12,1,0,71,23.0,119,577.87,17.0,11,14,44.0,21,25,4,27,vorondi01
101,Mats Zuccarello,37,MIN,LW,31,11,19,30,9,12,9,2,0,3,15,4,0,63,17.0,120,584.38,18.85,12,12,50.0,20,12,11,30,zuccama01
102,Pavel Buchnevich,29,STL,LW,42,11,18,29,4,11,10,1,0,0,12,5,1,80,13.0,165,790.47,18.82,76,134,36.2,20,29,7,40,buchnpa01
103,Macklin Celebrini,18,SJS,F,33,13,16,29,-13,14,9,4,0,3,12,4,0,109,11.0,206,652.53,19.77,209,230,47.6,23,18,12,47,celebma01
104,Jakob Chychrun,26,WSH,D,38,12,17,29,15,30,8,4,0,3,10,7,0,86,14.0,234,786.65,20.7,0,0,,49,27,16,42,chychja01
105,Jake DeBrusk,28,VAN,LW,42,17,12,29,-1,10,10,7,0,2,9,3,0,88,19.0,159,698.1,16.62,4,12,25.0,26,61,9,26,debruja01
106,Tomas Hertl,31,VEG,C,43,12,17,29,-10,12,5,7,0,2,11,6,0,101,11.0,183,737.52,17.15,293,210,58.3,34,57,17,29,hertlto01
107,Nazem Kadri,34,CGY,C,42,15,14,29,-13,42,13,2,0,2,7,7,0,144,10.0,271,786.68,18.73,336,410,45.0,18,30,17,34,kadrina01
108,Timo Meier,28,NJD,RW,44,14,15,29,11,50,11,3,0,2,12,3,0,131,10.0,284,758.72,17.25,4,7,36.4,31,74,9,35,meierti01
109,J.T. Miller,31,VAN,C,32,8,21,29,-3,28,7,1,0,1,12,9,0,65,12.0,124,577.78,18.05,322,234,57.9,19,73,11,28,millejt01
110,Elias Pettersson,26,VAN,C,36,10,19,29,-3,10,5,5,0,1,15,4,0,67,14.0,147,687.1,19.08,245,291,45.7,44,34,15,26,petteel01
111,Jaden Schwartz,32,SEA,C,44,13,16,29,-1,16,10,3,0,5,13,3,0,101,12.0,182,779.5,17.72,10,17,37.0,24,27,22,22,schwaja01
112,Mikhail Sergachev,26,UTA,D,42,8,21,29,-6,18,6,2,0,3,11,10,0,70,11.0,196,1086.58,25.87,0,0,,78,23,19,72,sergami01
113,Chandler Stephenson,30,SEA,C,43,5,24,29,-9,14,4,1,0,0,12,12,0,41,12.0,80,853.83,19.85,442,418,51.4,24,16,19,35,stephch02
114,Vincent Trocheck,31,NYR,C,42,14,15,29,-4,34,9,4,1,3,9,6,0,112,12.0,193,909.18,21.65,494,329,60.0,43,130,24,50,trochvi01
115,Sam Bennett,28,FLA,C,42,13,15,28,-14,53,10,3,0,1,12,3,0,116,11.0,215,719.92,17.13,273,308,47.0,29,92,16,24,bennesa01
116,Oliver Bjorkstrand,29,SEA,RW,43,13,15,28,1,9,9,4,0,1,12,3,0,95,13.0,171,666.57,15.5,2,3,40.0,9,44,15,33,bjorkol01
117,Claude Giroux,37,OTT,C,42,9,19,28,5,14,7,2,0,1,12,6,1,81,11.0,132,784.62,18.68,316,205,60.7,21,38,8,35,giroucl01
118,Dougie Hamilton,31,NJD,D,45,5,23,28,4,22,1,4,0,2,15,8,0,134,3.0,296,898.78,19.97,0,0,,56,49,16,70,hamildo01
119,Roman Josi,34,NSH,D,38,8,20,28,-23,14,7,1,0,1,9,11,0,113,7.0,267,954.27,25.12,0,0,,68,35,20,58,josiro01
120,Anton Lundell,23,FLA,C,43,9,19,28,3,24,6,2,1,1,16,3,0,88,10.0,166,737.33,17.15,305,287,51.5,33,69,17,34,lundean01
121,Stefan Noesen,31,NJD,RW,45,17,11,28,-2,21,9,8,0,5,8,3,0,99,17.0,167,714.85,15.88,31,26,54.4,15,94,10,41,noesest01
122,Neal Pionk,29,WPG,D,44,5,23,28,7,30,2,3,0,1,16,6,1,71,7.0,180,973.8,22.13,0,0,,72,69,19,50,pionkne01
123,Fabian Zetterlund,25,SJS,W,45,12,16,28,7,8,9,3,0,0,14,2,0,94,12.0,199,794.57,17.65,24,14,63.2,45,81,16,33,zettefa01
124,Brock Boeser,27,VAN,RW,35,15,12,27,-6,14,10,5,0,1,7,5,0,66,22.0,144,620.1,17.72,6,20,23.1,11,33,12,17,boesebr01
125,John Carlson,35,WSH,D,43,3,24,27,16,12,2,1,0,0,16,8,0,95,3.0,228,1030.9,23.97,0,0,,79,33,18,60,carlsjo01
126,Shayne Gostisbehere,31,CAR,D,36,6,21,27,-6,16,2,4,0,0,7,14,0,69,8.0,183,685.42,19.03,0,0,,30,30,21,39,gostish01
127,Roope Hintz,28,DAL,LW,41,19,8,27,4,16,15,4,0,4,6,2,0,98,19.0,169,707.5,17.25,230,199,53.6,22,24,12,46,hintzro01
128,Patrick Kane,36,DET,RW,37,10,17,27,-4,8,5,5,0,4,10,7,0,81,12.0,167,636.83,17.22,1,3,25.0,7,9,9,42,kanepa01
129,Matthew Knies,22,TOR,LW,42,16,11,27,-3,20,15,1,0,1,7,4,0,72,22.0,130,768.63,18.3,0,1,0.0,18,93,6,22,kniesma01
130,Mason Marchment,29,DAL,F,33,12,15,27,9,35,11,1,0,3,10,5,0,80,15.0,148,510.4,15.47,5,9,35.7,8,44,12,36,marchma01
131,Kyle Palmieri,33,NYI,RW,42,12,15,27,-8,12,10,2,0,1,11,3,1,85,14.0,177,777.02,18.5,9,10,47.4,15,26,13,16,palmiky01
132,Mika Zibanejad,31,NYR,C,42,8,19,27,-21,14,6,2,0,0,10,8,1,94,8.0,197,766.83,18.25,308,302,50.5,27,15,18,40,zibanmi01
133,Alex Laferriere,23,LAK,RW,41,13,13,26,11,14,11,2,0,4,11,2,0,91,14.0,197,674.28,16.45,12,22,35.3,16,75,11,25,laferal01
134,Casey Mittelstadt,26,COL,C,44,8,18,26,-15,14,7,1,0,2,9,9,0,61,13.0,107,799.72,18.18,246,362,40.5,21,16,10,47,mitteca01
135,Moritz Seider,23,DET,D,42,4,22,26,0,20,4,0,0,0,11,11,0,81,4.0,171,1050.02,25.0,0,0,,98,103,15,45,seidemo01
136,Owen Tippett,25,PHI,RW,44,12,14,26,-13,14,12,0,0,1,8,6,0,115,10.0,268,738.13,16.78,5,9,35.7,37,67,18,33,tippeow01
137,Tyler Toffoli,32,SJS,C,45,15,11,26,-14,6,12,3,0,1,5,6,0,126,11.0,220,748.38,16.63,7,8,46.7,17,26,13,29,toffoty01
138,Jake Walman,28,SJS,D,32,5,21,26,3,22,5,0,0,1,15,6,0,85,5.0,196,730.05,22.82,0,0,,48,31,17,32,walmaja01
